id,player_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,current_tier,offense,defense,playmaking,shooting,rebounding,athleticism,intangibles,durability,badges,archetype,source_file,source_line
ja-morant-2025-26,Ja Morant (2025-26),Ja Morant (2025-26),Memphis Grizzlies,2025-26,PG,,87,Ruby,85,81,87,82,80,85,81,76,,2025-26 Rotation Piece,src/data/players-current-2026.ts,457
jabari-smith-jr-2025-26,Jabari Smith Jr. (2025-26),Jabari Smith Jr. (2025-26),Houston Rockets,2025-26,PF,,87,Ruby,83,84,79,87,88,85,86,97,Glass Cleaner;Switchable Big;Transition Force,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,268
jamal-mashburn,Jamal Mashburn,Jamal Mashburn,Dallas Mavericks,1993-2004,SF,PF,87,Ruby,88,58,67,81,59,75,85,68,Three-Level Scorer;Shot Creator;Mismatch Weapon,Scoring Power Wing,src/data/players.ts,564
jamal-wilkes,Jamal Wilkes,Jamal Wilkes,Los Angeles Lakers,1974-1985,SF,PF,87,Ruby,87,74,58,73,68,83,92,86,Transition Force;Connector;Champion DNA,Championship Slashing Wing,src/data/players.ts,610
jaren-jackson-jr,Jaren Jackson Jr.,Jaren Jackson Jr.,Memphis Grizzlies,2018-Present,PF,C,87,Ruby,80,95,40,78,70,80,84,72,Rim Protector;Switchable Big;Elite Shooter,Shot-Blocking Stretch Big,src/data/players.ts,585
jarrett-allen-2025-26,Jarrett Allen (2025-26),Jarrett Allen (2025-26),Cleveland Cavaliers,2025-26,C,,87,Ruby,88,85,80,76,90,87,86,87,Glass Cleaner;Rim Protector;Three-Level Scorer,2025-26 Interior Anchor,src/data/players-current-2026.ts,269
jermaine-o-neal,Jermaine O'Neal,Jermaine O'Neal,Indiana Pacers,1996-2014,PF,C,87,Ruby,85,88,44,58,84,85,84,63,Rim Protector;Vertical Threat;Paint Pressure,Rim-Running Shot Blocker,src/data/players.ts,513
jrue-holiday-bucks,Jrue Holiday (Bucks),Jrue Holiday (Bucks),Milwaukee Bucks,Team-specific historical variant,PG,SG,87,Ruby,,,,,,,,,,,src/data/players.ts,772
jrue-holiday-celtics,Jrue Holiday (Celtics),Jrue Holiday (Celtics),Boston Celtics,2023-Present,PG,SG,87,Ruby,81,92,82,80,47,76,93,82,Point-of-Attack;Defensive IQ;Champion DNA,Championship Pressure Guard,src/data/players.ts,867
kevin-love-timberwolves,Kevin Love (Timberwolves),Kevin Love (Timberwolves),Minnesota Timberwolves,2008-2014,PF,C,87,Ruby,88,63,68,82,94,67,86,74,Glass Cleaner;Interior Force;Connector,Athletic Interior Scoring Rebounder,src/data/players.ts,531
kevin-porter-jr-2025-26,Kevin Porter Jr. (2025-26),Kevin Porter Jr. (2025-26),Milwaukee Bucks,2025-26,PG,,87,Ruby,81,82,83,80,80,82,82,81,Wing Stopper;Point-of-Attack;Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,300
kiki-vandeweghe-nuggets,Kiki Vandeweghe (Nuggets),Kiki Vandeweghe (Nuggets),Denver Nuggets,Team-specific historical variant,SF,PF,87,Ruby,,,,,,,,,,,src/data/players.ts,773
kon-knueppel-2025-26,Kon Knueppel (2025-26),Kon Knueppel (2025-26),Charlotte Hornets,2025-26,SF,,87,Ruby,88,81,85,92,84,83,88,97,Elite Shooter;Floor General;Three-Level Scorer,2025-26 Connector Creator,src/data/players-current-2026.ts,244
lamarcus-aldridge-spurs,LaMarcus Aldridge (Spurs),LaMarcus Aldridge (Spurs),San Antonio Spurs,Team-specific historical variant,PF,C,87,Ruby,,,,,,,,,,,src/data/players.ts,774
latrell-sprewell,Latrell Sprewell,Latrell Sprewell,New York Knicks,1992-2005,SG,SF,87,Ruby,88,73,64,77,48,88,86,79,Shot Creator;Transition Force;Point-of-Attack,Fiery Slashing Wing,src/data/players.ts,614
marc-gasol,Marc Gasol,Marc Gasol,Memphis Grizzlies,2008-2021,C,,87,Ruby,82,92,78,74,82,54,93,79,Defensive IQ;Connector;Rim Protector,Defensive Hub Center,src/data/players.ts,512
marcus-camby,Marcus Camby,Marcus Camby,Denver Nuggets,1996-2013,C,PF,87,Ruby,62,95,34,36,91,81,88,66,Rim Protector;Glass Cleaner;Defensive IQ,Mobile Defensive Anchor,src/data/players.ts,626
mark-aguirre,Mark Aguirre,Mark Aguirre,Dallas Mavericks,1981-1994,SF,PF,87,Ruby,89,58,58,73,58,78,83,80,Three-Level Scorer;Mismatch Weapon;Shot Creator,Power Scoring Wing,src/data/players.ts,575
matas-buzelis-2025-26,Matas Buzelis (2025-26),Matas Buzelis (2025-26),Chicago Bulls,2025-26,PF,,87,Ruby,89,87,84,90,90,90,88,96,Transition Force;Paint Pressure,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,276
mitch-richmond,Mitch Richmond,Mitch Richmond,Golden State Warriors,1988-2002,SG,SF,87,Ruby,89,67,62,86,48,80,87,89,Three-Level Scorer;Elite Shooter;Iron Man,Two-Way Bucket Guard,src/data/players.ts,511
mookie-blaylock-hawks,Mookie Blaylock (Hawks),Mookie Blaylock (Hawks),Atlanta Hawks,Team-specific historical variant,PG,SG,87,Ruby,,,,,,,,,,,src/data/players.ts,775
norm-nixon-lakers,Norm Nixon (Lakers),Norm Nixon (Lakers),Los Angeles Lakers,Team-specific historical variant,PG,SG,87,Ruby,,,,,,,,,,,src/data/players.ts,776
norman-powell-2025-26,Norman Powell (2025-26),Norman Powell (2025-26),Miami Heat,2025-26,SG,,87,Ruby,87,80,83,88,77,83,85,88,Elite Shooter;Three-Level Scorer;Paint Pressure,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,304
otis-birdsong-nets,Otis Birdsong (Nets),Otis Birdsong (Nets),Brooklyn Nets,Team-specific historical variant,SG,SF,87,Ruby,,,,,,,,,,,src/data/players.ts,777
pascal-siakam-raptors,Pascal Siakam (Raptors),Pascal Siakam (Raptors),Toronto Raptors,2016-2024,PF,SF,87,Ruby,86,80,69,72,76,88,87,84,Transition Force;Switchable Big;Connector,Explosive Two-Way Transition Forward,src/data/players.ts,508
paul-george-2025-26,Paul George (2025-26),Paul George (2025-26),Philadelphia 76ers,2025-26,PF,,87,Ruby,82,84,83,84,81,81,83,80,Point-of-Attack;Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,329
paul-millsap,Paul Millsap,Paul Millsap,Atlanta Hawks,2006-2021,PF,C,87,Ruby,83,86,63,74,86,72,89,84,Connector;Switchable Big;Glass Cleaner,Two-Way Connector Big,src/data/players.ts,591
rashard-lewis-supersonics,Rashard Lewis (SuperSonics),Rashard Lewis (SuperSonics),Oklahoma City Thunder,Team-specific historical variant,SF,PF,87,Ruby,,,,,,,,,,,src/data/players.ts,778
rj-barrett-2025-26,RJ Barrett (2025-26),RJ Barrett (2025-26),Toronto Raptors,2025-26,SF,,87,Ruby,85,79,83,81,82,82,84,87,Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,305
rod-strickland-bullets,Rod Strickland (Bullets),Rod Strickland (Bullets),Washington Wizards,Team-specific historical variant,PG,SG,87,Ruby,,,,,,,,,,,src/data/players.ts,779
ron-artest-rockets,Ron Artest (Rockets),Ron Artest (Rockets),Houston Rockets,2008-2009,SF,SG,87,Ruby,81,92,55,75,58,77,88,78,Wing Stopper;Point-of-Attack;Clutch,Power Stopper Wing,src/data/players.ts,848
sam-cassell-bucks,Sam Cassell (Bucks),Sam Cassell (Bucks),Milwaukee Bucks,Team-specific historical variant,PG,SG,87,Ruby,,,,,,,,,,,src/data/players.ts,780
sidney-wicks-blazers,Sidney Wicks (Blazers),Sidney Wicks (Blazers),Portland Trail Blazers,Team-specific historical variant,PF,C,87,Ruby,,,,,,,,,,,src/data/players.ts,781
steve-francis,Steve Francis,Steve Francis,Houston Rockets,1999-2011,PG,SG,87,Ruby,88,52,82,74,52,92,82,71,Athletic Freak;Shot Creator;Paint Pressure,Explosive Power Guard,src/data/players.ts,683
terry-porter-blazers,Terry Porter (Blazers),Terry Porter (Blazers),Portland Trail Blazers,Team-specific historical variant,PG,SG,87,Ruby,,,,,,,,,,,src/data/players.ts,782
tom-chambers,Tom Chambers,Tom Chambers,Phoenix Suns,1981-1998,PF,SF,87,Ruby,88,56,48,73,73,84,83,90,Transition Force;Paint Pressure;Mismatch Weapon,Explosive Scoring Four,src/data/players.ts,570
trae-young-2025-26,Trae Young (2025-26),Trae Young (2025-26),Washington Wizards,2025-26,PG,,87,Ruby,87,80,87,86,78,83,85,75,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,443
tyler-herro-2025-26,Tyler Herro (2025-26),Tyler Herro (2025-26),Miami Heat,2025-26,SG,,87,Ruby,86,79,86,88,80,82,84,79,Paint Pressure,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,356
vj-edgecombe-2025-26,VJ Edgecombe (2025-26),VJ Edgecombe (2025-26),Philadelphia 76ers,2025-26,SG,,87,Ruby,81,85,84,84,84,85,85,96,Floor General;Glass Cleaner;Wing Stopper,2025-26 Connector Creator,src/data/players-current-2026.ts,285
world-b-free-cavs,World B. Free (Cavs),World B. Free (Cavs),Cleveland Cavaliers,Team-specific historical variant,SG,PG,87,Ruby,,,,,,,,,,,src/data/players.ts,783
zion-williamson,Zion Williamson,Zion Williamson,New Orleans Pelicans,2019-Present,PF,C,87,Ruby,88,61,67,40,73,96,82,49,Paint Pressure;Athletic Freak;Interior Force,Explosive Paint Destroyer,src/data/players.ts,557
aaron-gordon-2025-26,Aaron Gordon (2025-26),Aaron Gordon (2025-26),Denver Nuggets,2025-26,PF,,86,Ruby,89,81,87,88,89,86,88,80,Paint Pressure,2025-26 Floor Spacer,src/data/players-current-2026.ts,310
al-horford-hawks,Al Horford (Hawks),Al Horford (Hawks),Atlanta Hawks,2007-Present,PF,C,86,Ruby,79,83,63,78,74,60,90,81,Connector;Switchable Big;Champion DNA,Veteran Two-Way Connector Big,src/data/players.ts,592
al-jefferson,Al Jefferson,Al Jefferson,Minnesota Timberwolves,2004-2018,C,PF,86,Ruby,88,56,40,54,88,61,84,81,Post Scorer;Glass Cleaner;Paint Gravity,Low-Post Scoring Center,src/data/players.ts,689
al-jefferson-bobcats,Al Jefferson (Bobcats),Al Jefferson (Bobcats),Charlotte Hornets,Team-specific historical variant,C,PF,86,Ruby,,,,,,,,,,,src/data/players.ts,784
allan-houston,Allan Houston,Allan Houston,New York Knicks,1993-2005,SG,SF,86,Ruby,87,58,52,92,40,76,87,76,Elite Shooter;Clutch;Off-Ball Gravity,Pure Shotmaking Wing,src/data/players.ts,615
amar-e-stoudemire-knicks,Amar'e Stoudemire (Knicks),Amar'e Stoudemire (Knicks),New York Knicks,2010-2015,PF,C,86,Ruby,88,46,38,68,77,83,81,56,Vertical Threat;Paint Pressure;Midrange Surgeon,Face-Up Scoring Big,src/data/players.ts,497
andre-iguodala,Andre Iguodala,Andre Iguodala,Philadelphia 76ers,2004-2023,SF,SG;PG,86,Ruby,78,91,74,69,58,84,94,82,Wing Stopper;Connector;Champion DNA,Championship Utility Wing,src/data/players.ts,524
andrew-bynum,Andrew Bynum,Andrew Bynum,Los Angeles Lakers,2005-2014,C,,86,Ruby,84,84,30,30,88,68,79,49,Interior Force;Rim Protector;Paint Gravity,Power Post Center,src/data/players.ts,653
andrew-nembhard-2025-26,Andrew Nembhard (2025-26),Andrew Nembhard (2025-26),Indiana Pacers,2025-26,PG,,86,Ruby,88,79,92,88,79,86,86,88,Floor General;Paint Pressure,2025-26 Offensive Engine,src/data/players-current-2026.ts,357
anthony-mason-hornets,Anthony Mason (Hornets),Anthony Mason (Hornets),Charlotte Hornets,1996-2000,PF,SF;C,86,Ruby,80,85,72,52,80,74,90,82,Point Forward;Motor;Switchable Big,Point Forward Enforcer,src/data/players.ts,873
ben-wallace,Ben Wallace,Ben Wallace,Detroit Pistons,1996-2012,C,PF,86,Ruby,38,99,24,18,96,80,93,87,Rim Protector;Glass Cleaner;Defensive IQ,Defensive Specialist Big,src/data/players.ts,495
brandon-ingram-pelicans,Brandon Ingram (Pelicans),Brandon Ingram (Pelicans),New Orleans Pelicans,2019-2024,SF,SG;PF,86,Ruby,87,63,76,82,52,82,84,73,Shot Creator;Three-Level Scorer;Connector,Long-Striding Shotmaking Wing,src/data/players.ts,843
brandon-miller-2025-26,Brandon Miller (2025-26),Brandon Miller (2025-26),Charlotte Hornets,2025-26,SF,,86,Ruby,86,84,83,88,83,85,87,91,Elite Shooter;Wing Stopper;Transition Force,2025-26 Two-Way Wing,src/data/players-current-2026.ts,217
brook-lopez-nets,Brook Lopez (Nets),Brook Lopez (Nets),Brooklyn Nets,Team-specific historical variant,C,,86,Ruby,,,,,,,,,,,src/data/players.ts,785
chris-bosh-heat,Chris Bosh (Heat),Chris Bosh (Heat),Miami Heat,2010-2016,PF,C,86,Ruby,84,82,52,80,78,73,90,72,Elite Shooter;Switchable Big;Connector,Modern Two-Way Big,src/data/players.ts,500
clifford-robinson-blazers,Clifford Robinson (Blazers),Clifford Robinson (Blazers),Portland Trail Blazers,Team-specific historical variant,PF,SF,86,Ruby,,,,,,,,,,,src/data/players.ts,786
danny-granger,Danny Granger,Danny Granger,Indiana Pacers,2005-2015,SF,SG,86,Ruby,88,68,55,86,50,77,83,57,Elite Shooter;Shot Creator;Wing Stopper,Shotmaking Two-Way Wing,src/data/players.ts,571
darius-garland-2025-26,Darius Garland (2025-26),Darius Garland (2025-26),Los Angeles Clippers,2025-26,PG,,86,Ruby,86,78,87,88,75,81,83,83,Elite Shooter;Floor General;Paint Pressure,2025-26 Offensive Engine,src/data/players-current-2026.ts,360
deandre-jordan,DeAndre Jordan,DeAndre Jordan,Los Angeles Clippers,2008-Present,C,,86,Ruby,67,87,24,12,93,87,84,89,Vertical Threat;Rim Protector;Glass Cleaner,Vertical Rim-Running Anchor,src/data/players.ts,667
dejounte-murray-2025-26,Dejounte Murray (2025-26),Dejounte Murray (2025-26),New Orleans Pelicans,2025-26,PG,,86,Ruby,86,84,86,84,83,83,83,75,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,411
demar-derozan-spurs,DeMar DeRozan (Spurs),DeMar DeRozan (Spurs),San Antonio Spurs,Team-specific historical variant,SF,SG,86,Ruby,,,,,,,,,,,src/data/players.ts,787
detlef-schrempf,Detlef Schrempf,Detlef Schrempf,Oklahoma City Thunder,1985-2001,SF,PF,86,Ruby,86,66,72,87,63,68,88,84,Elite Shooter;Connector;Mismatch Weapon,Playmaking Stretch Forward,src/data/players.ts,613
detlef-schrempf-pacers,Detlef Schrempf (Pacers),Detlef Schrempf (Pacers),Indiana Pacers,Team-specific historical variant,SF,PF,86,Ruby,,,,,,,,,,,src/data/players.ts,788
dikembe-mutombo,Dikembe Mutombo,Dikembe Mutombo,Philadelphia 76ers,1991-2009,C,,86,Ruby,52,97,26,25,90,68,88,79,Rim Protector;Glass Cleaner;Defensive IQ,Pure Rim Protector,src/data/players.ts,478
dyson-daniels-2025-26,Dyson Daniels (2025-26),Dyson Daniels (2025-26),Atlanta Hawks,2025-26,SG,,86,Ruby,80,89,86,74,89,86,88,96,Floor General;Glass Cleaner;Wing Stopper,2025-26 Connector Creator,src/data/players-current-2026.ts,267
eddie-jones,Eddie Jones,Eddie Jones,Los Angeles Lakers,1994-2008,SG,SF,86,Ruby,83,88,63,84,47,82,86,78,Wing Stopper;Elite Shooter;Off-Ball Gravity,Two-Way Off-Ball Guard,src/data/players.ts,516
gerald-wallace,Gerald Wallace,Gerald Wallace,Charlotte Hornets,2001-2015,SF,PF,86,Ruby,80,88,54,61,75,91,86,72,Transition Force;Wing Stopper;Motor,Chaos Two-Way Wing,src/data/players.ts,711
glen-rice,Glen Rice,Glen Rice,Charlotte Hornets,1989-2004,SF,SG,86,Ruby,88,52,48,92,50,71,84,81,Elite Shooter;Off-Ball Gravity;Bench Scorer,Volume Shooting Wing,src/data/players.ts,515
goran-dragic-suns,Goran Dragic (Suns),Goran Dragic (Suns),Phoenix Suns,Team-specific historical variant,PG,SG,86,Ruby,,,,,,,,,,,src/data/players.ts,789
gordon-hayward-jazz,Gordon Hayward (Jazz),Gordon Hayward (Jazz),Utah Jazz,2010-2017,SF,SG;PF,86,Ruby,86,70,73,84,52,76,85,79,Connector;Three-Level Scorer;Elite Shooter,Complete Connector Wing,src/data/players.ts,854
immanuel-quickley-2025-26,Immanuel Quickley (2025-26),Immanuel Quickley (2025-26),Toronto Raptors,2025-26,PG,,86,Ruby,84,80,87,86,77,82,85,93,Elite Shooter;Floor General;Paint Pressure,2025-26 Offensive Engine,src/data/players-current-2026.ts,230
jaden-mcdaniels-2025-26,Jaden McDaniels (2025-26),Jaden McDaniels (2025-26),Minnesota Timberwolves,2025-26,PF,,86,Ruby,84,88,80,88,82,86,87,95,Elite Shooter;Switchable Big;Transition Force,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,231
jamal-mashburn-heat,Jamal Mashburn (Heat),Jamal Mashburn (Heat),Miami Heat,Team-specific historical variant,SF,PF,86,Ruby,,,,,,,,,,,src/data/players.ts,790
jason-williams-kings,Jason Williams (Kings),Jason Williams (Kings),Sacramento Kings,1998-2001,PG,SG,86,Ruby,83,48,95,73,34,82,86,77,Floor General;Transition Force;Shot Creator,Flash-Point Tempo Creator,src/data/players.ts,876
jerami-grant-2025-26,Jerami Grant (2025-26),Jerami Grant (2025-26),Portland Trail Blazers,2025-26,PF,,86,Ruby,82,78,77,84,76,81,81,87,Elite Shooter;Transition Force;Paint Pressure,2025-26 Floor Spacer,src/data/players-current-2026.ts,296
joe-johnson,Joe Johnson,Joe Johnson,Atlanta Hawks,2001-2018,SG,SF;PG,86,Ruby,87,62,70,87,49,73,88,87,Clutch;Shot Creator;Elite Shooter,Late-Game Shotmaking Wing,src/data/players.ts,589
jusuf-nurkic-blazers,Jusuf Nurkic (Blazers),Jusuf Nurkic (Blazers),Portland Trail Blazers,2017-2023,C,,86,Ruby,82,80,58,36,88,63,84,63,Glass Cleaner;Connector;Interior Force,Passing Bruiser Center,src/data/players.ts,861
kemba-walker,Kemba Walker,Kemba Walker,Charlotte Hornets,2011-2024,PG,,86,Ruby,88,42,82,85,34,79,88,64,Shot Creator;Clutch;Paint Pressure,Scoring Lead Guard,src/data/players.ts,493
kevin-love-cavs,Kevin Love (Cavs),Kevin Love (Cavs),Cleveland Cavaliers,2014-2018,PF,C,86,Ruby,87,54,74,88,87,55,88,70,Elite Shooter;Connector;Clutch,Playmaking Stretch Big,src/data/players.ts,532
khris-middleton-bucks,Khris Middleton (Bucks),Khris Middleton (Bucks),Milwaukee Bucks,2012-Present,SF,SG,86,Ruby,85,73,70,86,53,67,88,64,Clutch;Elite Shooter;Connector,Shotmaking Secondary Wing,src/data/players.ts,519
kristaps-porzi-is-2025-26,Kristaps Porziņģis (2025-26),Kristaps Porziņģis (2025-26),Golden State Warriors,2025-26,C,,86,Ruby,87,85,86,86,87,87,87,78,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,346
kyshawn-george-2025-26,Kyshawn George (2025-26),Kyshawn George (2025-26),Washington Wizards,2025-26,SF,,86,Ruby,86,85,88,89,87,88,83,84,Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,347
larry-johnson,Larry Johnson,Larry Johnson,Charlotte Hornets,1991-2001,PF,SF,86,Ruby,84,70,60,68,76,86,86,71,Mismatch Weapon;Transition Force;Motor,Power Scoring Forward,src/data/players.ts,533
marcus-smart-celtics,Marcus Smart (Celtics),Marcus Smart (Celtics),Boston Celtics,2014-2023,PG,SG,86,Ruby,76,94,80,74,49,77,95,82,Point-of-Attack;Floor General;Motor,Winning Chaos Guard,src/data/players.ts,836
mark-jackson,Mark Jackson,Mark Jackson,Indiana Pacers,1987-2004,PG,SG,86,Ruby,84,62,93,72,39,58,89,88,Floor General;Tempo Control;Defensive IQ,Methodical Floor General,src/data/players.ts,619
michael-finley,Michael Finley,Michael Finley,Dallas Mavericks,1995-2010,SG,SF,86,Ruby,86,68,58,84,51,82,85,89,Three-Level Scorer;Elite Shooter;Connector,Smooth Scoring Wing,src/data/players.ts,576
michael-jordan-wizards,Michael Jordan (Wizards),Michael Jordan (Wizards),Washington Wizards,2001-2003,SG,SF,86,Ruby,88,72,68,81,45,58,96,68,Clutch;Midrange Surgeon;Shot Creator,Veteran Mid-Post Closer,src/data/players.ts,847
michael-redd,Michael Redd,Michael Redd,Milwaukee Bucks,2000-2012,SG,SF,86,Ruby,89,46,50,91,42,72,83,57,Elite Shooter;Off-Ball Gravity;Three-Level Scorer,Volume Shooting Wing,src/data/players.ts,685
mikal-bridges-2025-26,Mikal Bridges (2025-26),Mikal Bridges (2025-26),New York Knicks,2025-26,SF,,86,Ruby,84,88,84,87,81,86,89,98,Elite Shooter;Floor General;Wing Stopper,2025-26 Two-Way Wing,src/data/players-current-2026.ts,248
miles-bridges-2025-26,Miles Bridges (2025-26),Miles Bridges (2025-26),Charlotte Hornets,2025-26,PF,,86,Ruby,85,82,83,84,86,85,85,96,Floor General;Glass Cleaner;Paint Pressure,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,249
naz-reid-2025-26,Naz Reid (2025-26),Naz Reid (2025-26),Minnesota Timberwolves,2025-26,C,,86,Ruby,84,86,81,85,87,84,86,96,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,src/data/players-current-2026.ts,278
og-anunoby-2025-26,OG Anunoby (2025-26),OG Anunoby (2025-26),New York Knicks,2025-26,PF,,86,Ruby,87,89,80,89,84,87,89,92,Elite Shooter;Switchable Big;Three-Level Scorer,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,252
payton-pritchard-2025-26,Payton Pritchard (2025-26),Payton Pritchard (2025-26),Boston Celtics,2025-26,PG,,86,Ruby,90,83,94,93,85,85,95,97,Elite Shooter;Floor General,2025-26 Offensive Engine,src/data/players-current-2026.ts,256
ralph-sampson,Ralph Sampson,Ralph Sampson,Houston Rockets,1983-1992,C,PF,86,Ruby,83,82,54,60,82,86,84,43,Athletic Freak;Rim Protector;Mismatch Weapon,Mobile Jumbo Big,src/data/players.ts,547
ray-allen-heat,Ray Allen (Heat),Ray Allen (Heat),Miami Heat,2012-2014,SG,SF,86,Ruby,85,66,48,97,38,64,93,84,Elite Shooter;Off-Ball Gravity;Clutch,Veteran Off-Ball Sniper,src/data/players.ts,442
rik-smits,Rik Smits,Rik Smits,Indiana Pacers,1988-2000,C,,86,Ruby,87,72,38,68,80,45,86,70,Post Scorer;Paint Gravity;Bench Scorer,Half-Court Scoring Center,src/data/players.ts,543
rod-strickland-blazers,Rod Strickland (Blazers),Rod Strickland (Blazers),Portland Trail Blazers,Team-specific historical variant,PG,SG,86,Ruby,,,,,,,,,,,src/data/players.ts,791
ron-artest,Ron Artest,Ron Artest,Los Angeles Lakers,1999-2017,SF,SG;PF,86,Ruby,79,94,58,72,59,79,86,82,Wing Stopper;Defensive IQ;Clutch,Enforcer Wing Stopper,src/data/players.ts,517
ron-harper-cavs,Ron Harper (Cavs),Ron Harper (Cavs),Cleveland Cavaliers,Team-specific historical variant,PG,SG,86,Ruby,,,,,,,,,,,src/data/players.ts,792
rudy-gobert,Rudy Gobert,Rudy Gobert,Utah Jazz,2013-Present,C,,86,Ruby,59,96,28,20,94,73,86,85,Rim Protector;Glass Cleaner;Vertical Threat,Drop Coverage Anchor,src/data/players.ts,503
rudy-gobert-2025-26,Rudy Gobert (2025-26),Rudy Gobert (2025-26),Minnesota Timberwolves,2025-26,C,,86,Ruby,80,88,73,72,94,87,86,96,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,src/data/players-current-2026.ts,282
ryan-rollins-2025-26,Ryan Rollins (2025-26),Ryan Rollins (2025-26),Milwaukee Bucks,2025-26,PG,,86,Ruby,83,82,85,88,79,82,84,95,Elite Shooter;Floor General;Wing Stopper,2025-26 Offensive Engine,src/data/players-current-2026.ts,257
saddiq-bey-2025-26,Saddiq Bey (2025-26),Saddiq Bey (2025-26),New Orleans Pelicans,2025-26,SF,,86,Ruby,84,78,83,86,84,84,86,94,Glass Cleaner;Transition Force;Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,283
santi-aldama-2025-26,Santi Aldama (2025-26),Santi Aldama (2025-26),Memphis Grizzlies,2025-26,PF,,86,Ruby,87,86,87,86,90,87,87,82,Paint Pressure,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,332
serge-ibaka,Serge Ibaka,Serge Ibaka,Oklahoma City Thunder,2008-2023,PF,C,86,Ruby,74,90,32,62,84,82,84,81,Rim Protector;Switchable Big;Vertical Threat,Explosive Shot-Blocking Big,src/data/players.ts,660
shaedon-sharpe-2025-26,Shaedon Sharpe (2025-26),Shaedon Sharpe (2025-26),Portland Trail Blazers,2025-26,SG,,86,Ruby,87,84,86,87,86,87,84,85,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,378
shawn-marion,Shawn Marion,Shawn Marion,Phoenix Suns,1999-2015,SF,PF,86,Ruby,80,90,55,63,81,89,87,91,Wing Stopper;Switchable Big;Motor,Chaos Two-Way Forward,src/data/players.ts,483
toumani-camara-2025-26,Toumani Camara (2025-26),Toumani Camara (2025-26),Portland Trail Blazers,2025-26,PF,,86,Ruby,81,84,78,85,83,83,84,98,Elite Shooter;Switchable Big;Transition Force,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,308
victor-oladipo-pacers,Victor Oladipo (Pacers),Victor Oladipo (Pacers),Indiana Pacers,Team-specific historical variant,SG,PG,86,Ruby,,,,,,,,,,,src/data/players.ts,793
walker-kessler-2025-26,Walker Kessler (2025-26),Walker Kessler (2025-26),Utah Jazz,2025-26,C,,86,Ruby,82,83,79,82,85,82,81,71,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,402
zach-lavine-bulls,Zach LaVine (Bulls),Zach LaVine (Bulls),Chicago Bulls,2017-Present,SG,PG,86,Ruby,88,41,62,86,40,95,80,75,Shot Creator;Three-Level Scorer;Athletic Freak,Explosive Three-Level Guard,src/data/players.ts,864
ace-bailey-2025-26,Ace Bailey (2025-26),Ace Bailey (2025-26),Utah Jazz,2025-26,SF,,85,Sapphire,82,79,80,84,84,84,78,94,,2025-26 Rotation Piece,src/data/players-current-2026.ts,427
ajay-mitchell-2025-26,Ajay Mitchell (2025-26),Ajay Mitchell (2025-26),Oklahoma City Thunder,2025-26,SG,,85,Sapphire,82,84,84,81,78,82,84,87,Wing Stopper;Point-of-Attack;Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,287
andre-drummond,Andre Drummond,Andre Drummond,Detroit Pistons,2012-Present,C,,85,Sapphire,68,76,28,14,98,81,80,84,Glass Cleaner;Interior Force;Paint Gravity,Elite Glass-Eating Center,src/data/players.ts,668
andre-iguodala-warriors,Andre Iguodala (Warriors),Andre Iguodala (Warriors),Golden State Warriors,2013-2023,SF,SG;PG,85,Sapphire,73,92,77,74,56,78,98,76,Wing Stopper;Connector;Champion DNA,Dynasty Utility Wing,src/data/players.ts,525
andrei-kirilenko,Andrei Kirilenko,Andrei Kirilenko,Utah Jazz,2001-2015,SF,PF,85,Sapphire,73,93,63,63,67,81,89,70,Wing Stopper;Switchable Big;Defensive IQ,Swiss Army Defender,src/data/players.ts,539
andrew-bogut-bucks,Andrew Bogut (Bucks),Andrew Bogut (Bucks),Milwaukee Bucks,Team-specific historical variant,C,,85,Sapphire,,,,,,,,,,,src/data/players.ts,794
andrew-wiggins-2025-26,Andrew Wiggins (2025-26),Andrew Wiggins (2025-26),Miami Heat,2025-26,SF,,85,Sapphire,83,86,80,87,82,84,85,92,Elite Shooter;Wing Stopper;Transition Force,2025-26 Two-Way Wing,src/data/players-current-2026.ts,212
