csv_player_name,source_player_name,team,previous_ovr,final_decision_ovr,delta,changed,match_mode,source_file,source_line
Johni Broome (2025-26),Johni Broome (2025-26),Philadelphia 76ers,77,75,-2,yes,exact,src/data/players-current-2026.ts,656
Jonathan Kuminga (2025-26),Jonathan Kuminga (2025-26),Atlanta Hawks,83,81,-2,yes,exact,src/data/players-current-2026.ts,437
Jordan McLaughlin (2025-26),Jordan McLaughlin (2025-26),San Antonio Spurs,77,75,-2,yes,exact,src/data/players-current-2026.ts,628
Jose Alvarado (2025-26),Jose Alvarado (2025-26),New York Knicks,83,81,-2,yes,exact,src/data/players-current-2026.ts,479
Julian Phillips (2025-26),Julian Phillips (2025-26),Minnesota Timberwolves,77,75,-2,yes,exact,src/data/players-current-2026.ts,657
Jusuf Nurkic (2025-26),Jusuf Nurkic (2025-26),Utah Jazz,82,80,-2,yes,exact,src/data/players-current-2026.ts,344
Karl-Anthony Towns (2025-26),Karl-Anthony Towns (2025-26),New York Knicks,90,88,-2,yes,exact,src/data/players-current-2026.ts,241
Keaton Wallace (2025-26),Keaton Wallace (2025-26),Atlanta Hawks,77,75,-2,yes,exact,src/data/players-current-2026.ts,629
Keshad Johnson (2025-26),Keshad Johnson (2025-26),Miami Heat,77,75,-2,yes,exact,src/data/players-current-2026.ts,551
Kevin Garnett (Timberwolves),Kevin Garnett (Timberwolves),Minnesota Timberwolves,96,94,-2,yes,exact,src/data/players.ts,402
Keyonte George (2025-26),Keyonte George (2025-26),Utah Jazz,90,88,-2,yes,exact,src/data/players-current-2026.ts,301
KJ Simpson (2025-26),KJ Simpson (2025-26),Denver Nuggets,77,75,-2,yes,exact,src/data/players-current-2026.ts,630
Koby Brea (2025-26),Koby Brea (2025-26),Phoenix Suns,77,75,-2,yes,exact,src/data/players-current-2026.ts,586
Kyle Lowry (2025-26),Kyle Lowry (2025-26),Philadelphia 76ers,77,75,-2,yes,exact,src/data/players-current-2026.ts,681
LaMelo Ball (2025-26),LaMelo Ball (2025-26),Charlotte Hornets,90,88,-2,yes,exact,src/data/players-current-2026.ts,245
Lindy Waters III (2025-26),Lindy Waters III (2025-26),San Antonio Spurs,77,75,-2,yes,exact,src/data/players-current-2026.ts,676
Malaki Branham (2025-26),Malaki Branham (2025-26),Washington Wizards,77,75,-2,yes,exact,src/data/players-current-2026.ts,567
Marcus Smart (2025-26),Marcus Smart (2025-26),Los Angeles Lakers,82,80,-2,yes,exact,src/data/players-current-2026.ts,464
Max Strus (2025-26),Max Strus (2025-26),Cleveland Cavaliers,82,80,-2,yes,exact,src/data/players-current-2026.ts,484
Maxi Kleber (2025-26),Maxi Kleber (2025-26),Los Angeles Lakers,78,76,-2,yes,exact,src/data/players-current-2026.ts,658
Micah Potter (2025-26),Micah Potter (2025-26),Indiana Pacers,78,76,-2,yes,exact,src/data/players-current-2026.ts,373
Miles McBride (2025-26),Miles McBride (2025-26),New York Knicks,83,81,-2,yes,exact,src/data/players-current-2026.ts,419
Nick Smith Jr. (2025-26),Nick Smith Jr. (2025-26),Los Angeles Lakers,78,76,-2,yes,exact,src/data/players-current-2026.ts,632
Noa Essengue (2025-26),Noa Essengue (2025-26),Chicago Bulls,77,75,-2,yes,exact,src/data/players-current-2026.ts,684
Obi Toppin (2025-26),Obi Toppin (2025-26),Indiana Pacers,82,80,-2,yes,exact,src/data/players-current-2026.ts,421
Orlando Robinson (2025-26),Orlando Robinson (2025-26),Orlando Magic,78,76,-2,yes,exact,src/data/players-current-2026.ts,570
Oscar Tshiebwe (2025-26),Oscar Tshiebwe (2025-26),Utah Jazz,77,75,-2,yes,exact,src/data/players-current-2026.ts,485
Paolo Banchero (2025-26),Paolo Banchero (2025-26),Orlando Magic,90,88,-2,yes,exact,src/data/players-current-2026.ts,254
Pat Connaughton (2025-26),Pat Connaughton (2025-26),Charlotte Hornets,78,76,-2,yes,exact,src/data/players-current-2026.ts,590
Quenton Jackson (2025-26),Quenton Jackson (2025-26),Indiana Pacers,78,76,-2,yes,exact,src/data/players-current-2026.ts,486
Robert Williams (2025-26),Robert Williams (2025-26),Portland Trail Blazers,82,80,-2,yes,exact,src/data/players-current-2026.ts,354
Ryan Dunn (2025-26),Ryan Dunn (2025-26),Phoenix Suns,83,81,-2,yes,exact,src/data/players-current-2026.ts,465
Seth Curry (2025-26),Seth Curry (2025-26),Golden State Warriors,78,76,-2,yes,exact,src/data/players-current-2026.ts,542
Sharife Cooper (2025-26),Sharife Cooper (2025-26),Washington Wizards,77,75,-2,yes,exact,src/data/players-current-2026.ts,543
Sidy Cissoko (2025-26),Sidy Cissoko (2025-26),Portland Trail Blazers,78,76,-2,yes,exact,src/data/players-current-2026.ts,616
Steven Adams (2025-26),Steven Adams (2025-26),Houston Rockets,83,81,-2,yes,exact,src/data/players-current-2026.ts,503
Svi Mykhailiuk (2025-26),Svi Mykhailiuk (2025-26),Utah Jazz,78,76,-2,yes,exact,src/data/players-current-2026.ts,487
Taurean Prince (2025-26),Taurean Prince (2025-26),Milwaukee Bucks,78,76,-2,yes,exact,src/data/players-current-2026.ts,527
Thanasis Antetokounmpo (2025-26),Thanasis Antetokounmpo (2025-26),Milwaukee Bucks,77,75,-2,yes,exact,src/data/players-current-2026.ts,638
Thomas Bryant (2025-26),Thomas Bryant (2025-26),Cleveland Cavaliers,78,76,-2,yes,exact,src/data/players-current-2026.ts,468
Tim Hardaway (Heat),Tim Hardaway (Heat),Miami Heat,90,88,-2,yes,exact,src/data/players.ts,750
Tony Bradley (2025-26),Tony Bradley (2025-26),Atlanta Hawks,78,76,-2,yes,exact,src/data/players-current-2026.ts,591
Tre Johnson (2025-26),Tre Johnson (2025-26),Washington Wizards,83,81,-2,yes,exact,src/data/players-current-2026.ts,544
TyTy Washington Jr. (2025-26),TyTy Washington Jr. (2025-26),Los Angeles Clippers,77,75,-2,yes,exact,src/data/players-current-2026.ts,619
Tyus Jones (2025-26),Tyus Jones (2025-26),Denver Nuggets,78,76,-2,yes,exact,src/data/players-current-2026.ts,663
VJ Edgecombe (2025-26),VJ Edgecombe (2025-26),Philadelphia 76ers,87,85,-2,yes,exact,src/data/players-current-2026.ts,285
Yang Hansen (2025-26),Yang Hansen (2025-26),Portland Trail Blazers,77,75,-2,yes,exact,src/data/players-current-2026.ts,677
Yuki Kawamura (2025-26),Yuki Kawamura (2025-26),Chicago Bulls,78,76,-2,yes,exact,src/data/players-current-2026.ts,640
Zach Edey (2025-26),Zach Edey (2025-26),Memphis Grizzlies,83,81,-2,yes,exact,src/data/players-current-2026.ts,447
Zeke Nnaji (2025-26),Zeke Nnaji (2025-26),Denver Nuggets,78,76,-2,yes,exact,src/data/players-current-2026.ts,621
A.C. Green (Lakers),A.C. Green (Lakers),Los Angeles Lakers,83,82,-1,yes,exact,src/data/players.ts,826
A.J. Green (2025-26),A.J. Green (2025-26),Milwaukee Bucks,83,82,-1,yes,exact,src/data/players-current-2026.ts,449
Aaron Brooks (Rockets),Aaron Brooks (Rockets),Houston Rockets,83,82,-1,yes,exact,src/data/players.ts,827
Aaron Gordon (2025-26),Aaron Gordon (2025-26),Denver Nuggets,86,85,-1,yes,exact,src/data/players-current-2026.ts,310
Aaron Wiggins (2025-26),Aaron Wiggins (2025-26),Oklahoma City Thunder,83,82,-1,yes,exact,src/data/players-current-2026.ts,426
Adrian Dantley,Adrian Dantley,Utah Jazz,87,86,-1,yes,exact,src/data/players.ts,458
AJ Johnson (2025-26),AJ Johnson (2025-26),Dallas Mavericks,78,77,-1,yes,exact,src/data/players-current-2026.ts,678
Ajay Mitchell (2025-26),Ajay Mitchell (2025-26),Oklahoma City Thunder,85,84,-1,yes,exact,src/data/players-current-2026.ts,287
Al Horford (Celtics),Al Horford (Celtics),Boston Celtics,87,86,-1,yes,exact,src/data/players.ts,856
Al Horford (Hawks),Al Horford (Hawks),Atlanta Hawks,86,87,1,yes,exact,src/data/players.ts,592
Al Jefferson,Al Jefferson,Minnesota Timberwolves,86,85,-1,yes,exact,src/data/players.ts,689
Al Jefferson (Bobcats),Al Jefferson (Bobcats),Charlotte Hornets,86,85,-1,yes,exact,src/data/players.ts,784
Alex Antetokounmpo (2025-26),Alex Antetokounmpo (2025-26),Milwaukee Bucks,76,75,-1,yes,exact,src/data/players-current-2026.ts,557
Alonzo Mourning,Alonzo Mourning,Miami Heat,87,86,-1,yes,exact,src/data/players.ts,476
Alperen Sengun (2025-26),Alperen Sengün (2025-26),Houston Rockets,90,89,-1,yes,accent-normalized,src/data/players-current-2026.ts,210
Amen Thompson (2025-26),Amen Thompson (2025-26),Houston Rockets,87,86,-1,yes,exact,src/data/players-current-2026.ts,211
Anderson Varejao,Anderson Varejao,Cleveland Cavaliers,81,80,-1,yes,exact,src/data/players.ts,638
Andray Blatche (Nets),Andray Blatche (Nets),Brooklyn Nets,81,80,-1,yes,exact,src/data/players.ts,904
Andray Blatche (Wizards),Andray Blatche (Wizards),Washington Wizards,83,82,-1,yes,exact,src/data/players.ts,845
Andre Drummond,Andre Drummond,Detroit Pistons,85,84,-1,yes,exact,src/data/players.ts,668
Andre Jackson Jr. (2025-26),Andre Jackson Jr. (2025-26),Milwaukee Bucks,78,77,-1,yes,exact,src/data/players-current-2026.ts,665
Andre Miller (Nuggets),Andre Miller (Nuggets),Denver Nuggets,84,83,-1,yes,exact,src/data/players.ts,816
Andrea Bargnani (Knicks),Andrea Bargnani (Knicks),New York Knicks,81,80,-1,yes,exact,src/data/players.ts,905
Andrei Kirilenko (Nets),Andrei Kirilenko (Nets),Brooklyn Nets,83,82,-1,yes,exact,src/data/players.ts,828
Andrew Bogut (Bucks),Andrew Bogut (Bucks),Milwaukee Bucks,85,84,-1,yes,exact,src/data/players.ts,794
Andrew Bynum,Andrew Bynum,Los Angeles Lakers,86,85,-1,yes,exact,src/data/players.ts,653
Andrew Nembhard (2025-26),Andrew Nembhard (2025-26),Indiana Pacers,86,85,-1,yes,exact,src/data/players-current-2026.ts,357
Andrew Toney (76ers),Andrew Toney (76ers),Philadelphia 76ers,87,86,-1,yes,exact,src/data/players.ts,770
Andrew Wiggins (2025-26),Andrew Wiggins (2025-26),Miami Heat,85,84,-1,yes,exact,src/data/players-current-2026.ts,212
Andrew Wiggins (Timberwolves),Andrew Wiggins (Timberwolves),Minnesota Timberwolves,85,84,-1,yes,exact,src/data/players.ts,840
Andris Biedrins,Andris Biedrins,Golden State Warriors,82,81,-1,yes,exact,src/data/players.ts,666
Anfernee Simons (2025-26),Anfernee Simons (2025-26),Chicago Bulls,84,83,-1,yes,exact,src/data/players-current-2026.ts,403
Anthony Bennett,Anthony Bennett,Cleveland Cavaliers,76,75,-1,yes,exact,src/data/players.ts,697
Anthony Black (2025-26),Anthony Black (2025-26),Orlando Magic,85,84,-1,yes,exact,src/data/players-current-2026.ts,312
Anthony Davis (2025-26),Anthony Davis (2025-26),Washington Wizards,92,91,-1,yes,exact,src/data/players-current-2026.ts,333
Anthony Edwards (2025-26),Anthony Edwards (2025-26),Minnesota Timberwolves,94,93,-1,yes,exact,src/data/players-current-2026.ts,213
Anthony Gill (2025-26),Anthony Gill (2025-26),Washington Wizards,76,75,-1,yes,exact,src/data/players-current-2026.ts,490
Anthony Mason (Hornets),Anthony Mason (Hornets),Charlotte Hornets,86,85,-1,yes,exact,src/data/players.ts,873
Anthony McKie (76ers),Anthony McKie (76ers),Philadelphia 76ers,83,82,-1,yes,exact,src/data/players.ts,720
Antoine Walker,Antoine Walker,Boston Celtics,85,84,-1,yes,exact,src/data/players.ts,630
Antonio Davis (Pacers),Antonio Davis (Pacers),Indiana Pacers,83,82,-1,yes,exact,src/data/players.ts,829
Antonio McDyess,Antonio McDyess,Denver Nuggets,85,84,-1,yes,exact,src/data/players.ts,681
Arvydas Sabonis (Blazers),Arvydas Sabonis (Blazers),Portland Trail Blazers,92,91,-1,yes,exact,src/data/players.ts,741
Ausar Thompson (2025-26),Ausar Thompson (2025-26),Detroit Pistons,85,84,-1,yes,exact,src/data/players-current-2026.ts,288
Austin Reaves (2025-26),Austin Reaves (2025-26),Los Angeles Lakers,89,88,-1,yes,exact,src/data/players-current-2026.ts,214
Avery Johnson (Spurs),Avery Johnson (Spurs),San Antonio Spurs,83,82,-1,yes,exact,src/data/players.ts,830
Ayo Dosunmu (2025-26),Ayo Dosunmu (2025-26),Minnesota Timberwolves,84,83,-1,yes,exact,src/data/players-current-2026.ts,264
Bam Adebayo (2025-26),Bam Adebayo (2025-26),Miami Heat,90,89,-1,yes,exact,src/data/players-current-2026.ts,215
Baron Davis,Baron Davis,Golden State Warriors,88,87,-1,yes,exact,src/data/players.ts,563
Ben Gordon (Bulls),Ben Gordon (Bulls),Chicago Bulls,85,84,-1,yes,exact,src/data/players.ts,795
Bennedict Mathurin (2025-26),Bennedict Mathurin (2025-26),Los Angeles Clippers,85,84,-1,yes,exact,src/data/players-current-2026.ts,381
Bilal Coulibaly (2025-26),Bilal Coulibaly (2025-26),Washington Wizards,83,82,-1,yes,exact,src/data/players-current-2026.ts,405
Bob Lanier (Pistons),Bob Lanier (Pistons),Detroit Pistons,91,90,-1,yes,exact,src/data/players.ts,745
Bob Love (Bulls),Bob Love (Bulls),Chicago Bulls,89,88,-1,yes,exact,src/data/players.ts,751
Bob Pettit,Bob Pettit,Atlanta Hawks,90,89,-1,yes,exact,src/data/players.ts,453
Bobby Dandridge (Bucks),Bobby Dandridge (Bucks),Milwaukee Bucks,89,88,-1,yes,exact,src/data/players.ts,752
Bobby Portis (2025-26),Bobby Portis (2025-26),Milwaukee Bucks,84,83,-1,yes,exact,src/data/players-current-2026.ts,313
Bones Hyland (2025-26),Bones Hyland (2025-26),Minnesota Timberwolves,80,79,-1,yes,exact,src/data/players-current-2026.ts,406
Boris Diaw (Spurs),Boris Diaw (Spurs),San Antonio Spurs,82,81,-1,yes,exact,src/data/players.ts,890
Brad Daugherty (Cavs),Brad Daugherty (Cavs),Cleveland Cavaliers,89,88,-1,yes,exact,src/data/players.ts,753
Brandin Podziemski (2025-26),Brandin Podziemski (2025-26),Golden State Warriors,83,82,-1,yes,exact,src/data/players-current-2026.ts,265
Brandon Ingram (2025-26),Brandon Ingram (2025-26),Toronto Raptors,87,86,-1,yes,exact,src/data/players-current-2026.ts,216
Brandon Miller (2025-26),Brandon Miller (2025-26),Charlotte Hornets,86,85,-1,yes,exact,src/data/players-current-2026.ts,217
Brandon Roy (Timberwolves),Brandon Roy (Timberwolves),Minnesota Timberwolves,78,77,-1,yes,exact,src/data/players.ts,923
Brandon Williams (2025-26),Brandon Williams (2025-26),Dallas Mavericks,84,83,-1,yes,exact,src/data/players-current-2026.ts,358
Brice Sensabaugh (2025-26),Brice Sensabaugh (2025-26),Utah Jazz,83,82,-1,yes,exact,src/data/players-current-2026.ts,407
Brook Lopez (Nets),Brook Lopez (Nets),Brooklyn Nets,86,85,-1,yes,exact,src/data/players.ts,785
Caleb Houstan (2025-26),Caleb Houstan (2025-26),Atlanta Hawks,78,77,-1,yes,exact,src/data/players-current-2026.ts,575
Cam Christie (2025-26),Cam Christie (2025-26),Los Angeles Clippers,76,75,-1,yes,exact,src/data/players-current-2026.ts,668
Cam Spencer (2025-26),Cam Spencer (2025-26),Memphis Grizzlies,83,82,-1,yes,exact,src/data/players-current-2026.ts,314
Cameron Johnson (2025-26),Cameron Johnson (2025-26),Denver Nuggets,84,83,-1,yes,exact,src/data/players-current-2026.ts,334
Cameron Payne (2025-26),Cameron Payne (2025-26),Philadelphia 76ers,78,77,-1,yes,exact,src/data/players-current-2026.ts,512
Carlos Boozer (Bulls),Carlos Boozer (Bulls),Chicago Bulls,84,83,-1,yes,exact,src/data/players.ts,537
Caron Butler (Mavs),Caron Butler (Mavs),Dallas Mavericks,85,84,-1,yes,exact,src/data/players.ts,578
Caron Butler (Wizards),Caron Butler (Wizards),Washington Wizards,85,84,-1,yes,exact,src/data/players.ts,796
Cason Wallace (2025-26),Cason Wallace (2025-26),Oklahoma City Thunder,83,82,-1,yes,exact,src/data/players-current-2026.ts,359
Cedric Ceballos (Suns),Cedric Ceballos (Suns),Phoenix Suns,85,84,-1,yes,exact,src/data/players.ts,797
Chandler Parsons (Rockets),Chandler Parsons (Rockets),Houston Rockets,83,82,-1,yes,exact,src/data/players.ts,831
Charles Oakley (Knicks),Charles Oakley (Knicks),New York Knicks,85,84,-1,yes,exact,src/data/players.ts,798
Charlie Ward (Knicks),Charlie Ward (Knicks),New York Knicks,79,78,-1,yes,exact,src/data/players.ts,723
Chauncey Billups (Nuggets),Chauncey Billups (Nuggets),Denver Nuggets,87,86,-1,yes,exact,src/data/players.ts,771
Chet Walker (76ers),Chet Walker (76ers),Philadelphia 76ers,88,87,-1,yes,exact,src/data/players.ts,764
Chris Bosh (Heat),Chris Bosh (Heat),Miami Heat,86,85,-1,yes,exact,src/data/players.ts,500
Chris Kaman (Clippers),Chris Kaman (Clippers),Los Angeles Clippers,84,83,-1,yes,exact,src/data/players.ts,877
Chris Mullin (Pacers),Chris Mullin (Pacers),Indiana Pacers,88,87,-1,yes,exact,src/data/players.ts,765
Chris Webber,Chris Webber,Sacramento Kings,89,90,1,yes,exact,src/data/players.ts,502
Christian Braun (2025-26),Christian Braun (2025-26),Denver Nuggets,83,82,-1,yes,exact,src/data/players-current-2026.ts,382
CJ McCollum (2025-26),CJ McCollum (2025-26),Atlanta Hawks,87,86,-1,yes,exact,src/data/players-current-2026.ts,289
Clifford Robinson (Blazers),Clifford Robinson (Blazers),Portland Trail Blazers,86,85,-1,yes,exact,src/data/players.ts,786
Coby White (2025-26),Coby White (2025-26),Charlotte Hornets,84,83,-1,yes,exact,src/data/players-current-2026.ts,409
Cody Martin (2025-26),Cody Martin (2025-26),Indiana Pacers,78,77,-1,yes,exact,src/data/players-current-2026.ts,644
Collin Gillespie (2025-26),Collin Gillespie (2025-26),Phoenix Suns,85,84,-1,yes,exact,src/data/players-current-2026.ts,220
Collin Murray-Boyles (2025-26),Collin Murray-Boyles (2025-26),Toronto Raptors,82,81,-1,yes,exact,src/data/players-current-2026.ts,335
Collin Sexton (2025-26),Collin Sexton (2025-26),Chicago Bulls,85,84,-1,yes,exact,src/data/players-current-2026.ts,316
Cooper Flagg (2025-26),Cooper Flagg (2025-26),Dallas Mavericks,91,90,-1,yes,exact,src/data/players-current-2026.ts,221
Corey Maggette,Corey Maggette,Los Angeles Clippers,83,82,-1,yes,exact,src/data/players.ts,686
Courtney Lee (Magic),Courtney Lee (Magic),Orlando Magic,80,79,-1,yes,exact,src/data/players.ts,718
Craig Porter Jr. (2025-26),Craig Porter Jr. (2025-26),Cleveland Cavaliers,78,77,-1,yes,exact,src/data/players-current-2026.ts,452
Dale Davis,Dale Davis,Indiana Pacers,83,82,-1,yes,exact,src/data/players.ts,621
Dalen Terry (2025-26),Dalen Terry (2025-26),Philadelphia 76ers,78,77,-1,yes,exact,src/data/players-current-2026.ts,580
Damon Stoudamire (Raptors),Damon Stoudamire (Raptors),Toronto Raptors,83,82,-1,yes,exact,src/data/players.ts,832
Daniel Gafford (2025-26),Daniel Gafford (2025-26),Dallas Mavericks,83,82,-1,yes,exact,src/data/players-current-2026.ts,336
Danilo Gallinari (Knicks),Danilo Gallinari (Knicks),New York Knicks,82,81,-1,yes,exact,src/data/players.ts,891
Daniss Jenkins (2025-26),Daniss Jenkins (2025-26),Detroit Pistons,82,81,-1,yes,exact,src/data/players-current-2026.ts,410
Darius Garland (2025-26),Darius Garland (2025-26),Los Angeles Clippers,86,85,-1,yes,exact,src/data/players-current-2026.ts,360
Darryl Dawkins,Darryl Dawkins,Philadelphia 76ers,85,84,-1,yes,exact,src/data/players.ts,609
David Robinson,David Robinson,San Antonio Spurs,94,95,1,yes,exact,src/data/players.ts,411
David West (Pacers),David West (Pacers),Indiana Pacers,83,82,-1,yes,exact,src/data/players.ts,833
Davion Mitchell (2025-26),Davion Mitchell (2025-26),Miami Heat,83,82,-1,yes,exact,src/data/players-current-2026.ts,383
De'Aaron Fox (2025-26),De'Aaron Fox (2025-26),San Antonio Spurs,88,87,-1,yes,exact,src/data/players-current-2026.ts,222
Deandre Ayton (2025-26),Deandre Ayton (2025-26),Los Angeles Lakers,84,83,-1,yes,exact,src/data/players-current-2026.ts,318
DeAndre Jordan (2025-26),DeAndre Jordan (2025-26),New Orleans Pelicans,76,75,-1,yes,exact,src/data/players-current-2026.ts,513
Dejounte Murray (2025-26),Dejounte Murray (2025-26),New Orleans Pelicans,86,85,-1,yes,exact,src/data/players-current-2026.ts,411
Dell Curry,Dell Curry,Charlotte Hornets,81,82,1,yes,exact,src/data/players.ts,568
DeMar DeRozan (2025-26),DeMar DeRozan (2025-26),Sacramento Kings,87,86,-1,yes,exact,src/data/players-current-2026.ts,290
DeMar DeRozan (Spurs),DeMar DeRozan (Spurs),San Antonio Spurs,86,85,-1,yes,exact,src/data/players.ts,787
DeMarcus Cousins,DeMarcus Cousins,New Orleans Pelicans,89,88,-1,yes,exact,src/data/players.ts,556
DeMarcus Cousins (Kings),DeMarcus Cousins (Kings),Sacramento Kings,90,89,-1,yes,exact,src/data/players.ts,858
Dennis Johnson (SuperSonics),Dennis Johnson (SuperSonics),Oklahoma City Thunder,89,88,-1,yes,exact,src/data/players.ts,755
Dennis Rodman (Spurs),Dennis Rodman (Spurs),San Antonio Spurs,82,81,-1,yes,exact,src/data/players.ts,892
Derek Fisher,Derek Fisher,Los Angeles Lakers,80,81,1,yes,exact,src/data/players.ts,652
Derik Queen (2025-26),Derik Queen (2025-26),New Orleans Pelicans,85,84,-1,yes,exact,src/data/players-current-2026.ts,291
Deron Williams (Cavaliers),Deron Williams (Cavaliers),Cleveland Cavaliers,80,79,-1,yes,exact,src/data/players.ts,917
Deron Williams (Nets),Deron Williams (Nets),Brooklyn Nets,85,84,-1,yes,exact,src/data/players.ts,799
Derrick White (2025-26),Derrick White (2025-26),Boston Celtics,87,86,-1,yes,exact,src/data/players-current-2026.ts,224
Derrick White (Spurs),Derrick White (Spurs),San Antonio Spurs,83,82,-1,yes,exact,src/data/players.ts,869
Desmond Bane (2025-26),Desmond Bane (2025-26),Orlando Magic,87,86,-1,yes,exact,src/data/players-current-2026.ts,225
Detlef Schrempf (Pacers),Detlef Schrempf (Pacers),Indiana Pacers,86,85,-1,yes,exact,src/data/players.ts,788
Devin Harris,Devin Harris,Brooklyn Nets,81,80,-1,yes,exact,src/data/players.ts,634
Devin Vassell (2025-26),Devin Vassell (2025-26),San Antonio Spurs,85,84,-1,yes,exact,src/data/players-current-2026.ts,292
Dikembe Mutombo (Hawks),Dikembe Mutombo (Hawks),Atlanta Hawks,89,88,-1,yes,exact,src/data/players.ts,756
Dillon Brooks (2025-26),Dillon Brooks (2025-26),Phoenix Suns,87,86,-1,yes,exact,src/data/players-current-2026.ts,385
Dirk Nowitzki,Dirk Nowitzki,Dallas Mavericks,95,94,-1,yes,exact,src/data/players.ts,401
Domantas Sabonis (2025-26),Domantas Sabonis (2025-26),Sacramento Kings,88,87,-1,yes,exact,src/data/players-current-2026.ts,412
Domantas Sabonis (Pacers),Domantas Sabonis (Pacers),Indiana Pacers,88,87,-1,yes,exact,src/data/players.ts,857
Donovan Clingan (2025-26),Donovan Clingan (2025-26),Portland Trail Blazers,87,86,-1,yes,exact,src/data/players-current-2026.ts,227
Donovan Mitchell,Donovan Mitchell,Utah Jazz,91,90,-1,yes,exact,src/data/players.ts,555
Donovan Mitchell (2025-26),Donovan Mitchell (2025-26),Cleveland Cavaliers,92,91,-1,yes,exact,src/data/players-current-2026.ts,228
Donte DiVincenzo (2025-26),Donte DiVincenzo (2025-26),Minnesota Timberwolves,83,82,-1,yes,exact,src/data/players-current-2026.ts,266
Dorian Finney-Smith (2025-26),Dorian Finney-Smith (2025-26),Houston Rockets,78,77,-1,yes,exact,src/data/players-current-2026.ts,669
Draymond Green (2025-26),Draymond Green (2025-26),Golden State Warriors,84,83,-1,yes,exact,src/data/players-current-2026.ts,387
Drew Eubanks (2025-26),Drew Eubanks (2025-26),Sacramento Kings,78,77,-1,yes,exact,src/data/players-current-2026.ts,562
Drew Gooden,Drew Gooden,Cleveland Cavaliers,79,78,-1,yes,exact,src/data/players.ts,636
Duncan Robinson (2025-26),Duncan Robinson (2025-26),Detroit Pistons,82,81,-1,yes,exact,src/data/players-current-2026.ts,319
Duop Reath (2025-26),Duop Reath (2025-26),Portland Trail Blazers,78,77,-1,yes,exact,src/data/players-current-2026.ts,596
Dwayne Wade ('03 - '10),Dwayne Wade ('03 - '10),Miami Heat,96,95,-1,yes,exact,src/data/players.ts,407
Dwight Howard (Lakers),Dwight Howard (Lakers),Los Angeles Lakers,85,84,-1,yes,exact,src/data/players.ts,800
Dylan Harper (2025-26),Dylan Harper (2025-26),San Antonio Spurs,85,84,-1,yes,exact,src/data/players-current-2026.ts,320
Dyson Daniels (2025-26),Dyson Daniels (2025-26),Atlanta Hawks,86,85,-1,yes,exact,src/data/players-current-2026.ts,267
Elton Brand,Elton Brand,Los Angeles Clippers,88,87,-1,yes,exact,src/data/players.ts,682
Eric Gordon (Clippers),Eric Gordon (Clippers),Los Angeles Clippers,83,82,-1,yes,exact,src/data/players.ts,834
Evan Mobley (2025-26),Evan Mobley (2025-26),Cleveland Cavaliers,90,89,-1,yes,exact,src/data/players-current-2026.ts,229
Franz Wagner (2025-26),Franz Wagner (2025-26),Orlando Magic,88,87,-1,yes,exact,src/data/players-current-2026.ts,321
Fred VanVleet (Rockets),Fred VanVleet (Rockets),Houston Rockets,85,84,-1,yes,exact,src/data/players.ts,801
Gabe Vincent (2025-26),Gabe Vincent (2025-26),Atlanta Hawks,78,77,-1,yes,exact,src/data/players-current-2026.ts,670
Gail Goodrich (Lakers),Gail Goodrich (Lakers),Los Angeles Lakers,91,90,-1,yes,exact,src/data/players.ts,746
Garrett Temple (2025-26),Garrett Temple (2025-26),Toronto Raptors,78,77,-1,yes,exact,src/data/players-current-2026.ts,671
Garrison Mathews (2025-26),Garrison Mathews (2025-26),Indiana Pacers,78,77,-1,yes,exact,src/data/players-current-2026.ts,581
George McGinnis (Pacers),George McGinnis (Pacers),Indiana Pacers,91,90,-1,yes,exact,src/data/players.ts,747
Gerald Green,Gerald Green,Houston Rockets,79,78,-1,yes,exact,src/data/players.ts,694
Gerald Wallace,Gerald Wallace,Charlotte Hornets,86,85,-1,yes,exact,src/data/players.ts,711
Gheorghe Muresan,Gheorghe Muresan,Washington Wizards,80,79,-1,yes,exact,src/data/players.ts,678
Glen Davis,Glen Davis,Boston Celtics,81,80,-1,yes,exact,src/data/players.ts,645
Glenn Robinson,Glenn Robinson,Milwaukee Bucks,87,86,-1,yes,exact,src/data/players.ts,629
Goran Dragic (Heat),Goran Dragic (Heat),Miami Heat,85,84,-1,yes,exact,src/data/players.ts,802
Goran Dragic (Suns),Goran Dragic (Suns),Phoenix Suns,86,85,-1,yes,exact,src/data/players.ts,789
Gordon Hayward (Celtics),Gordon Hayward (Celtics),Boston Celtics,83,82,-1,yes,exact,src/data/players.ts,835
Grayson Allen (2025-26),Grayson Allen (2025-26),Phoenix Suns,85,84,-1,yes,exact,src/data/players-current-2026.ts,322
Gus Williams (Sonics),Gus Williams (Sonics),Oklahoma City Thunder,88,87,-1,yes,exact,src/data/players.ts,766
Harrison Barnes (2025-26),Harrison Barnes (2025-26),San Antonio Spurs,82,81,-1,yes,exact,src/data/players-current-2026.ts,363
Harrison Barnes (Kings),Harrison Barnes (Kings),Sacramento Kings,83,82,-1,yes,exact,src/data/players.ts,878
Hasheem Thabeet,Hasheem Thabeet,Memphis Grizzlies,76,75,-1,yes,exact,src/data/players.ts,706
Hassan Whiteside (Heat),Hassan Whiteside (Heat),Miami Heat,84,83,-1,yes,exact,src/data/players.ts,817
