id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
ron-artest-rockets,Ron Artest (Rockets),Ron Artest,Ron Artest (Rockets),Houston Rockets,2008-2009,SF,SG,87,86,-1,Ruby,Ruby,85.9,88.4,84.5,83.5,86.6,84.5,84.2,Wing Stopper;Point-of-Attack;Clutch,Power Stopper Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,848
al-horford-celtics,Al Horford (Celtics),Al Horford,Al Horford (Celtics),Boston Celtics,2021-Present,C,PF,87,86,-1,Ruby,Ruby,85.8,87.8,85.5,83.3,86.2,84.2,83.9,Connector;Defensive IQ;Elite Shooter,Veteran Championship Connector Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,856
josh-giddey-2025-26,Josh Giddey (2025-26),Josh Giddey,Josh Giddey (2025-26),Chicago Bulls,2025-26,PG,,88,86,-2,Ruby,Ruby,85.8,89.5,83.7,82.7,84.9,83.4,85.7,Floor General;Glass Cleaner;Wing Stopper,2025-26 Offensive Engine,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,238
onyeka-okongwu-2025-26,Onyeka Okongwu (2025-26),Onyeka Okongwu,Onyeka Okongwu (2025-26),Atlanta Hawks,2025-26,C,,88,86,-2,Ruby,Ruby,85.8,89.4,83.7,82.7,84.9,84.2,84.8,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,253
stephon-castle-2025-26,Stephon Castle (2025-26),Stephon Castle,Stephon Castle (2025-26),San Antonio Spurs,2025-26,PG,,88,86,-2,Ruby,Ruby,85.8,89.5,83.7,82.7,84.9,83.4,85.7,Floor General;Wing Stopper;Transition Force,2025-26 Offensive Engine,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,260
alvin-robertson,Alvin Robertson,Alvin Robertson,Alvin Robertson,Milwaukee Bucks,1984-1993,SG,PG,87,86,-1,Ruby,Ruby,85.7,88.1,84.5,83.9,84.8,84.5,83.8,Point-of-Attack;Defensive IQ;Transition Force,Steals-Driven Defensive Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,670
bob-mcadoo,Bob McAdoo,Bob McAdoo,Bob McAdoo,Los Angeles Clippers,1972-1993,PF,C,87,86,-1,Ruby,Ruby,85.7,88.5,84.5,83.5,84.8,84.2,84.1,Three-Level Scorer;Mismatch Weapon;Bench Scorer,Scoring Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,457
jamal-mashburn,Jamal Mashburn,Jamal Mashburn,Jamal Mashburn,Dallas Mavericks,1993-2004,SF,PF,87,86,-1,Ruby,Ruby,85.7,88.5,84.5,83.5,84.8,84.2,84.1,Three-Level Scorer;Shot Creator;Mismatch Weapon,Scoring Power Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,564
julius-randle-2025-26,Julius Randle (2025-26),Julius Randle,Julius Randle (2025-26),Minnesota Timberwolves,2025-26,PF,,88,86,-2,Ruby,Ruby,85.7,89.4,83.7,82.7,84.9,83.4,85.4,Floor General;Glass Cleaner;Three-Level Scorer,2025-26 Frontcourt Enforcer,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,240
mark-aguirre,Mark Aguirre,Mark Aguirre,Mark Aguirre,Dallas Mavericks,1981-1994,SF,PF,87,86,-1,Ruby,Ruby,85.7,88.5,84.5,83.5,84.8,84.2,84.1,Three-Level Scorer;Mismatch Weapon;Shot Creator,Power Scoring Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,575
pascal-siakam-2025-26,Pascal Siakam (2025-26),Pascal Siakam,Pascal Siakam (2025-26),Indiana Pacers,2025-26,PF,,88,86,-2,Ruby,Ruby,85.7,89.4,83.7,82.7,84.9,83.4,85.4,Floor General;Glass Cleaner;Three-Level Scorer,2025-26 Frontcourt Enforcer,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,255
allan-houston,Allan Houston,Allan Houston,Allan Houston,New York Knicks,1993-2005,SG,SF,86,86,0,Ruby,Ruby,85.6,89.1,83.5,82.5,85.6,83.2,85.2,Elite Shooter;Clutch;Off-Ball Gravity,Pure Shotmaking Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,615
demar-derozan-bulls,DeMar DeRozan (Bulls),DeMar DeRozan,DeMar DeRozan (Bulls),Chicago Bulls,2021-2024,SF,SG;PF,87,86,-1,Ruby,Ruby,85.6,87.7,84.5,83.5,86.6,84.2,84.2,Midrange Surgeon;Clutch;Shot Creator,Midrange Control Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,865
kevin-love-timberwolves,Kevin Love (Timberwolves),Kevin Love,Kevin Love (Timberwolves),Minnesota Timberwolves,2008-2014,PF,C,87,86,-1,Ruby,Ruby,85.6,87.8,84.5,83.8,85.2,84.2,84.1,Glass Cleaner;Interior Force;Connector,Athletic Interior Scoring Rebounder,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,531
michael-porter-jr-2025-26,Michael Porter Jr. (2025-26),Michael Porter Jr.,Michael Porter Jr. (2025-26),Brooklyn Nets,2025-26,SF,,88,86,-2,Ruby,Ruby,85.6,89.1,83.7,82.7,84.9,83.4,85.5,Elite Shooter;Floor General;Glass Cleaner,2025-26 Connector Creator,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,247
grant-hill,Grant Hill,Grant Hill,Grant Hill,Phoenix Suns,1994-2013,SG,SF,87,86,-1,Ruby,Ruby,84.6,86,86,82,78,86,86,Point Forward;Connector;Transition Force,Versatile Point Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Suns Grant Hill is a later-career connector version, far below the Pistons peak.",src/data/players.ts,481
alonzo-mourning,Alonzo Mourning,Alonzo Mourning,Alonzo Mourning,Miami Heat,1992-2008,C,PF,87,85,-2,Ruby,Sapphire,85.5,87.7,84.5,83.5,84.8,84.7,83.8,Rim Protector;Motor;Paint Anchor,Paint Defender,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,476
carlos-boozer,Carlos Boozer,Carlos Boozer,Carlos Boozer,Utah Jazz,2002-2015,PF,C,87,85,-2,Ruby,Sapphire,85.5,87.8,84.5,83.5,84.8,84.2,84.1,Glass Cleaner;Paint Pressure;Bench Scorer,Interior Scoring Rebounder,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,536
dave-cowens,Dave Cowens,Dave Cowens,Dave Cowens,Boston Celtics,1970-1983,C,PF,87,85,-2,Ruby,Sapphire,85.5,87.7,84.5,83.5,84.8,84.7,83.8,Motor;Rim Protector;Glass Cleaner,Motor Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,456
tom-chambers,Tom Chambers,Tom Chambers,Tom Chambers,Phoenix Suns,1981-1998,PF,SF,87,85,-2,Ruby,Sapphire,85.5,87.8,84.5,83.5,84.8,84.2,84.1,Transition Force;Paint Pressure;Mismatch Weapon,Explosive Scoring Four,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,570
adrian-dantley,Adrian Dantley,Adrian Dantley,Adrian Dantley,Utah Jazz,1976-1991,SF,PF,87,85,-2,Ruby,Sapphire,85.4,87.7,84.5,83.5,84.8,84.2,83.8,Three-Level Scorer;Paint Pressure;Bench Scorer,Efficiency Scorer,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,458
glenn-robinson,Glenn Robinson,Glenn Robinson,Glenn Robinson,Milwaukee Bucks,1994-2005,SF,PF,87,85,-2,Ruby,Sapphire,85.4,87.7,84.5,83.5,84.8,84.2,83.8,Three-Level Scorer;Shot Creator;Mismatch Weapon,Big Wing Bucket Getter,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,629
khris-middleton-bucks,Khris Middleton (Bucks),Khris Middleton,Khris Middleton (Bucks),Milwaukee Bucks,2012-Present,SF,SG,86,85,-1,Ruby,Sapphire,85.4,88.4,83.5,82.8,86,83.2,84.2,Clutch;Elite Shooter;Connector,Shotmaking Secondary Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,519
steve-francis,Steve Francis,Steve Francis,Steve Francis,Houston Rockets,1999-2011,PG,SG,87,85,-2,Ruby,Sapphire,85.4,87.5,84.5,83.5,84.8,84.2,83.8,Athletic Freak;Shot Creator;Paint Pressure,Explosive Power Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,683
zion-williamson,Zion Williamson,Zion Williamson,Zion Williamson,New Orleans Pelicans,2019-Present,PF,C,87,85,-2,Ruby,Sapphire,85.4,87.5,84.5,83.5,84.8,84.2,83.8,Paint Pressure;Athletic Freak;Interior Force,Explosive Paint Destroyer,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,557
desmond-bane-2025-26,Desmond Bane (2025-26),Desmond Bane,Desmond Bane (2025-26),Orlando Magic,2025-26,SG,,87,85,-2,Ruby,Sapphire,85.3,90,82.7,81.7,83.9,82.7,85.1,Elite Shooter;Floor General;Three-Level Scorer,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,225
joe-johnson,Joe Johnson,Joe Johnson,Joe Johnson,Atlanta Hawks,2001-2018,SG,SF;PG,86,85,-1,Ruby,Sapphire,85.3,88.4,83.5,82.5,85.6,83.2,84.2,Clutch;Shot Creator;Elite Shooter,Late-Game Shotmaking Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,589
pascal-siakam-raptors,Pascal Siakam (Raptors),Pascal Siakam,Pascal Siakam (Raptors),Toronto Raptors,2016-2024,PF,SF,87,85,-2,Ruby,Sapphire,85.3,87,84.5,83.8,85.2,84.2,83.8,Transition Force;Switchable Big;Connector,Explosive Two-Way Transition Forward,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,508
alex-sarr-2025-26,Alex Sarr (2025-26),Alex Sarr,Alex Sarr (2025-26),Washington Wizards,2025-26,C,,88,85,-3,Ruby,Sapphire,85.2,88,83.7,82.7,84.9,83.4,84.8,Glass Cleaner;Paint Pressure,2025-26 Transition Threat,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,311
andre-iguodala,Andre Iguodala,Andre Iguodala,Andre Iguodala,Philadelphia 76ers,2004-2023,SF,SG;PG,86,85,-1,Ruby,Sapphire,85.2,86,86,82.8,86.7,83.9,82.8,Wing Stopper;Connector;Champion DNA,Championship Utility Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,524
latrell-sprewell,Latrell Sprewell,Latrell Sprewell,Latrell Sprewell,New York Knicks,1992-2005,SG,SF,87,85,-2,Ruby,Sapphire,85.2,87,84.5,83.5,84.8,84.2,83.8,Shot Creator;Transition Force;Point-of-Attack,Fiery Slashing Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,614
michael-finley,Michael Finley,Michael Finley,Michael Finley,Dallas Mavericks,1995-2010,SG,SF,86,85,-1,Ruby,Sapphire,85.2,88.4,83.5,82.8,84.2,83.2,83.8,Three-Level Scorer;Elite Shooter;Connector,Smooth Scoring Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,576
kevin-love-cavs,Kevin Love (Cavs),Kevin Love,Kevin Love (Cavs),Cleveland Cavaliers,2014-2018,PF,C,86,85,-1,Ruby,Sapphire,85.1,87.6,83.5,82.8,86,83.2,83.9,Elite Shooter;Connector;Clutch,Playmaking Stretch Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,532
michael-redd,Michael Redd,Michael Redd,Michael Redd,Milwaukee Bucks,2000-2012,SG,SF,86,85,-1,Ruby,Sapphire,85.1,88.3,83.5,82.5,83.8,83.2,84.5,Elite Shooter;Off-Ball Gravity;Three-Level Scorer,Volume Shooting Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,685
norman-powell-2025-26,Norman Powell (2025-26),Norman Powell,Norman Powell (2025-26),Miami Heat,2025-26,SG,,87,85,-2,Ruby,Sapphire,85.1,89.3,82.7,81.7,83.9,82.7,84.5,Elite Shooter;Three-Level Scorer;Paint Pressure,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,304
paul-millsap,Paul Millsap,Paul Millsap,Paul Millsap,Atlanta Hawks,2006-2021,PF,C,87,85,-2,Ruby,Sapphire,85.1,86.5,84.5,83.8,85.2,84.2,83.2,Connector;Switchable Big;Glass Cleaner,Two-Way Connector Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,591
ray-allen-heat,Ray Allen (Heat),Ray Allen,Ray Allen (Heat),Miami Heat,2012-2014,SG,SF,86,85,-1,Ruby,Sapphire,85.1,88.3,83.5,81.6,85.6,83.2,84.9,Elite Shooter;Off-Ball Gravity;Clutch,Veteran Off-Ball Sniper,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,442
ron-artest,Ron Artest,Ron Artest,Ron Artest,Los Angeles Lakers,1999-2017,SF,SG;PF,86,85,-1,Ruby,Sapphire,85.1,87.8,83.5,82.9,85.6,83.5,83.2,Wing Stopper;Defensive IQ;Clutch,Enforcer Wing Stopper,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,517
andrew-toney-76ers,Andrew Toney (76ers),Andrew Toney,Andrew Toney (76ers),Philadelphia 76ers,Team-specific historical variant,SG,PG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,770
chauncey-billups-nuggets,Chauncey Billups (Nuggets),Chauncey Billups,Chauncey Billups (Nuggets),Denver Nuggets,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,771
dikembe-mutombo,Dikembe Mutombo,Dikembe Mutombo,Dikembe Mutombo,Philadelphia 76ers,1991-2009,C,,86,85,-1,Ruby,Sapphire,85,87.8,83.5,82.9,83.8,84,82.8,Rim Protector;Glass Cleaner;Defensive IQ,Pure Rim Protector,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,478
domantas-sabonis-2025-26,Domantas Sabonis (2025-26),Domantas Sabonis,Domantas Sabonis (2025-26),Sacramento Kings,2025-26,C,,88,85,-3,Ruby,Sapphire,85,87.5,83.7,82.7,84.9,83.4,84.2,Paint Pressure,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,412
franz-wagner-2025-26,Franz Wagner (2025-26),Franz Wagner,Franz Wagner (2025-26),Orlando Magic,2025-26,SF,,88,85,-3,Ruby,Sapphire,85,87.5,83.7,82.7,84.9,83.4,84.2,Paint Pressure,2025-26 Connector Creator,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,321
jarrett-allen-2025-26,Jarrett Allen (2025-26),Jarrett Allen,Jarrett Allen (2025-26),Cleveland Cavaliers,2025-26,C,,87,85,-2,Ruby,Sapphire,85,89.1,82.7,81.7,83.9,83.2,83.8,Glass Cleaner;Rim Protector;Three-Level Scorer,2025-26 Interior Anchor,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,269
jrue-holiday-bucks,Jrue Holiday (Bucks),Jrue Holiday,Jrue Holiday (Bucks),Milwaukee Bucks,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,772
kiki-vandeweghe-nuggets,Kiki Vandeweghe (Nuggets),Kiki Vandeweghe,Kiki Vandeweghe (Nuggets),Denver Nuggets,Team-specific historical variant,SF,PF,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,773
lamarcus-aldridge-spurs,LaMarcus Aldridge (Spurs),LaMarcus Aldridge,LaMarcus Aldridge (Spurs),San Antonio Spurs,Team-specific historical variant,PF,C,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,774
